Label,Parent Name,Atlas Name,Substitute,TA Name,Hierarchy,TA ID,Wikipedia Title
-1,left hemisphere of cerebellum,medial hemispheric zone,pontocerebellum,pontocerebellum,cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.009,
-1,left hemisphere of cerebellum,vermis,,vermis of cerebellum [I - X],cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.006,Cerebellar vermis
-1,left hemisphere of cerebellum,lateral hemispheric zone 1,neocerebellum,neocerebellum,cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.012,
-1,left hemisphere of cerebellum,lateral hemispheric zone 2,neocerebellum,neocerebellum,cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.012,
-1,cerebellum,left hemisphere of cerebellum,,hemisphere of cerebellum [H II - H X],cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.004,
-1,right hemisphere of cerebellum,medial hemispheric zone,pontocerebellum,pontocerebellum,cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.009,
-1,right hemisphere of cerebellum,lateral hemispheric zone 1,neocerebellum,neocerebellum,cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.012,
-1,right hemisphere of cerebellum,vermis,,,,,
-1,cerebellum,right hemisphere of cerebellum,,hemisphere of cerebellum [H II - H X],cerebellum;metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.004,
-1,metencephalon,cerebellum,,cerebellum,metencephalon;rhombencephalon;brain;central nervous system;nervous system,A14.1.07.001,
-1,rhombencephalon,metencephalon,,metencephalon,rhombencephalon;brain;central nervous system;nervous system,A14.1.03.004,Metencephalon
-1,Brain,rhombencephalon,,rhombencephalon,brain;central nervous system;nervous system,A14.1.03.002,Hindbrain
-1,diencephalon,epithalamus,,epithalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.002,Epithalamus
-1,hypothalamus,neurohypophysis,,neurohypophysis,pituitary gland;endocrine glands,A11.1.00.006,Posterior pituitary
-1,hypothalamus,left hypothalamus,,hypothalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.401,Hypothalamus
-1,hypothalamus,right hypothalamus,,hypothalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.401,Hypothalamus
-1,diencephalon,hypothalamus,,hypothalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.401,Hypothalamus
-1,left thalamus,ventral nuclear group,ventral nuclei of thalamus,ventral nuclei of thalamus,grey substance of thalamus;thalamus;diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.639,
-1,thalamus,left thalamus,,thalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.101,Thalamus
-1,thalamus,right thalamus,,thalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.101,Thalamus
-1,thalamus,left metathalamus,,metathalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.301,Metathalamus
-1,thalamus,right metathalamus,,metathalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.301,Metathalamus
-1,prosencephalon,diencephalon,,diencephalon,prosencephalon;brain;central nervous system;nervous system,A14.1.03.007,Diencephalon
-1,diencephalon,thalamus,,thalamus,diencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.08.101,Thalamus
-1,telencephalon,septum of telencephalon,septum pellucidum,septum pellucidum,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.262,Septum pellucidum
-1,left lentiform nucleus,left globus pallidus,pallidum,pallidum,,,
-1,left cerebral hemisphere,left insula,,insula,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.149,Insular cortex
-1,subcortex of left cerebral hemisphere,left lentiform nucleus,,lentiform nucleus,basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.506,Lentiform nucleus
-1,subcortex of left cerebral hemisphere,striatum of left cerebral hemisphere,,striatum,corpus striatum;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.516,Ventral striatum
-1,left parietal lobe,left inferior parietal lobule,,inferior parietal lobule,parietal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.125,Inferior parietal lobule
-1,left cerebral hemisphere,left parietal lobe,,parietal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.123,Parietal lobe
-1,left frontal lobe,left inferior frontal gyrus,,inferior frontal gyrus,frontal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.113,Inferior frontal gyrus
-1,left cerebral hemisphere,left temporal lobe,,temporal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.136,Temporal lobe
-1,left frontal lobe,left middle frontal gyrus,,middle frontal gyrus,frontal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.118,Middle frontal gyrus
-1,left cerebral hemisphere,left frontal lobe,,frontal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.110,Frontal lobe
-1,left limbic lobe,left cingulate gyrus,,cingulate gyrus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.231,Cingulate cortex
-1,left cingulate gyrus,left anterior cingulate gyrus,,cingulate gyrus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.231,Cingulate cortex
-1,left cerebral hemisphere,left limbic lobe,,limbic lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.230,Limbic lobe
-1,left cerebral hemisphere,left occipital lobe,,occipital lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.132,Occipital lobe
-1,left cerebral hemisphere,left lateral ventricle,,lateral ventricle,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.272,Lateral ventricles
-1,telencephalon,left cerebral hemisphere,,cerebral hemisphere,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.002,Cerebral hemisphere
-1,right parietal lobe,right inferior parietal lobule,,inferior parietal lobule,parietal lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.125,Inferior parietal lobule
-1,right cerebral hemisphere,right parietal lobe,,parietal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.123,Parietal lobe
-1,right lentiform nucleus,right globus pallidus,pallidum,pallidum,,,
-1,subcortex of right cerebral hemisphere,right lentiform nucleus,,lentiform nucleus,basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.506,Lentiform nucleus
-1,right cerebral hemisphere,subcortex of right cerebral hemisphere,,cerebral hemisphere,telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.002,Cerebral hemisphere
-1,subcortex of right cerebral hemisphere,striatum of right cerebral hemisphere,,striatum,corpus striatum;basal nuclei;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.516,
-1,right cerebral hemisphere,right temporal lobe,,temporal lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.136,Temporal lobe
-1,right limbic lobe,right cingulate gyrus,,cingulate gyrus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.231,Cingulate cortex
-1,right cingulate gyrus,right anterior cingulate gyrus,,cingulate gyrus,limbic lobe;cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.231,Cingulate cortex
-1,right cerebral hemisphere,right limbic lobe,,limbic lobe,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.230,Limbic lobe
-1,right cerebral hemisphere,right insula,,insula,cerebral hemisphere;telencephalon;prosencephalon;brain;central nervous system;nervous system,A14.1.09.149,Insular cortex
